D_ID,CURRENCY,CHARGE_VALUE
390074738,USD,200
390074738,USD,916
388816251,USD,4600
388816251,USD,186
388816251,USD,-452
388816251,USD,505
389852285,USD,59
389852285,USD,284
389852285,USD,44
389852285,USD,509
390088150,USD,200
390088150,USD,782
389852250,USD,27
389852250,USD,876
389852250,USD,114
389852250,USD,-149
389852250,USD,166
390074032,USD,829
390074032,USD,131
380246645,USD,127
380246645,USD,72
380246645,USD,90
380246645,USD,-80
380246645,USD,41
380246645,USD,1269
380246645,USD,117
380246645,USD,59
388810053,USD,439
388810053,USD,-428
388810053,USD,196
388810053,USD,4879
385864974,USD,4140
385864974,USD,156
385864974,USD,-478
385864974,USD,536
390037681,USD,842
390037681,USD,89
390037681,USD,435
390037681,USD,-156
390037681,USD,191
390037681,USD,8
390153972,USD,498
390153972,USD,-428
390153972,USD,41
390153972,USD,51
390153972,USD,201
390153972,USD,45
390153972,USD,494
390153972,USD,3889
390153972,USD,20
390028263,USD,61
390028263,USD,456
390028263,USD,-431
390028263,USD,218
390028263,USD,55
390028263,USD,4640
390028263,USD,20
390007475,USD,14
390007475,USD,3131
390007475,USD,190
390007475,USD,180
390007475,USD,54
390007475,USD,-334
390007475,USD,385
390007475,USD,47
388818102,USD,220
388818102,USD,-424
388818102,USD,5641
388818102,USD,480
388055373,USD,527
388055373,USD,-469
388055373,USD,389
388055373,USD,4589
388810011,USD,-492
388810011,USD,194
388810011,USD,4484
388810485,USD,3640
388810485,USD,124
388810485,USD,-368
388810485,USD,393
388810011,USD,497
390002254,USD,41
390002254,USD,4881
390002254,USD,210
390002254,USD,-432
390002254,USD,473
390002254,USD,41
389851119,USD,54
389851119,USD,232
389851119,USD,77
389851119,USD,762
380246518,USD,-175
380246518,USD,163
380246518,USD,179
380246518,USD,13
388837297,USD,4279
388837297,USD,191
388837297,USD,-476
388837297,USD,526
390026083,USD,51
390026083,USD,4150
390026083,USD,65
390026083,USD,178
390026083,USD,-359
390026083,USD,398
390026083,USD,27
388818781,USD,4461
388818781,USD,375
388818781,USD,-549
388818781,USD,559
389850482,USD,8
389850482,USD,398
389850482,USD,66
389850482,USD,581
385865596,USD,4061
385865596,USD,153
385865596,USD,-460
385865596,USD,547
388818110,USD,542
388818110,USD,-486
388818110,USD,4268
388818110,USD,278
388818675,USD,4535
388818675,USD,382
388818675,USD,-549
388818675,USD,625
390037690,USD,14
390037690,USD,658
390037690,USD,38
390037690,USD,424
390037690,USD,269
389848628,USD,-152
389848628,USD,949
389848628,USD,104
389848628,USD,219
389848628,USD,18
388814419,USD,-555
388814419,USD,209
388814419,USD,4504
388814419,USD,547
380247608,USD,58
380247608,USD,1277
380247608,USD,144
380247608,USD,70
380247608,USD,61
380247608,USD,55
380247608,USD,-120
380247608,USD,144
380247608,USD,30
390031696,USD,192
390031696,USD,-160
390031696,USD,408
390031696,USD,64
390031696,USD,664
390031696,USD,38
389850441,USD,767
389850441,USD,90
389850441,USD,-148
389850441,USD,31
389850441,USD,195
390010021,USD,58
390010021,USD,415
390010021,USD,-329
390010021,USD,150
390010021,USD,43
390010021,USD,3438
390010021,USD,49
389857120,USD,128
389857120,USD,905
389857120,USD,43
389857120,USD,-80
389857120,USD,40
389848671,USD,1079
389848671,USD,76
389848671,USD,-76
389848671,USD,145
389848671,USD,33
388834575,USD,498
388834575,USD,-498
388834575,USD,214
388834575,USD,4473
388817591,USD,568
388817591,USD,-544
388817591,USD,253
388817591,USD,4767
390027088,USD,54
390027088,USD,4644
390027088,USD,28
390027088,USD,194
390027088,USD,-446
390027088,USD,489
390027088,USD,55
390010009,USD,252
388834209,USD,613
388834209,USD,-559
388834209,USD,205
388834209,USD,4543
390010009,USD,-240
390010009,USD,131
390010009,USD,122
390010009,USD,3544
390215990,USD,31
390215990,USD,478
390215990,USD,344
390215990,USD,43
390215990,USD,90
390215990,USD,216
390215990,USD,2778
390215990,USD,55
390028112,USD,496
390028112,USD,13
390028112,USD,-419
390028112,USD,177
390028112,USD,58
390028112,USD,4544
390028112,USD,41
388817600,USD,4541
388817600,USD,559
388817600,USD,-510
388817600,USD,247
389855163,USD,17
389855163,USD,210
389855163,USD,-152
389855163,USD,80
