D_ID,CREATED,ORIGIN_PID,DESTINATION_PID,VALID_FROM,VALID_TO,COMPANY_ID,SUPPLIER_ID,EQUIPMENT_ID
388834391,2021-05-25T18:36:41.220Z,266,54,2021-05-10,2021-05-14,3564,40,4
390037682,2021-05-25T18:34:44.921Z,308,764,2021-06-15,2021-06-30,3564,82,2
390006641,2021-05-25T18:32:03.209Z,585,308,2021-05-10,2021-05-16,3564,40,1
389850829,2021-05-25T13:33:07.507Z,638,191,2021-05-01,2021-05-31,3709,1023,2
388813714,2021-05-25T18:36:41.222Z,806,638,2021-05-01,2021-05-14,3564,53,4
388818448,2021-05-25T18:36:41.223Z,723,681,2021-05-01,2021-05-14,3564,48,4
380246645,2021-05-25T18:54:33.969Z,308,764,2021-05-01,2021-05-02,3564,53,1
386914677,2021-05-26T08:40:45.228Z,529,504,2021-05-01,2021-05-14,4023,53,2
388825631,2021-05-25T18:36:41.224Z,585,218,2021-05-01,2021-05-14,3564,53,4
389592584,2021-05-24T20:50:56.109Z,681,688,2021-04-15,2021-04-30,3709,43,2
388813721,2021-05-25T18:36:41.222Z,806,638,2021-05-10,2021-05-14,3564,40,2
388817918,2021-05-25T18:36:41.225Z,736,54,2021-05-01,2021-05-14,3564,1023,4
389592967,2021-05-24T20:50:56.106Z,587,764,2021-04-15,2021-04-30,3709,43,4
389855579,2021-05-25T13:33:07.549Z,504,529,2021-05-01,2021-05-31,3709,1023,1
386913874,2021-05-26T08:40:45.227Z,781,638,2021-05-01,2021-05-14,4023,53,4
390006644,2021-05-25T18:32:03.209Z,585,308,2021-05-15,2021-05-31,3564,38,1
388825969,2021-05-25T18:36:41.224Z,585,587,2021-05-01,2021-05-14,3564,1023,2
390030654,2021-05-25T18:34:44.893Z,723,308,2021-05-15,2021-05-31,3564,43,4
386912991,2021-05-26T08:40:45.226Z,912,638,2021-05-01,2021-05-14,4023,53,1
380246588,2021-05-25T18:54:33.969Z,308,796,2021-04-01,2021-04-30,3564,53,4
388817598,2021-05-25T18:36:41.224Z,736,587,2021-05-01,2021-05-14,3564,53,1
388834388,2021-05-25T18:36:41.220Z,266,54,2021-05-01,2021-05-14,3564,43,4
390002256,2021-05-25T18:32:03.202Z,806,308,2021-05-15,2021-05-31,3564,1023,1
386912883,2021-05-26T08:40:45.227Z,796,587,2021-05-01,2021-05-14,4023,53,2
390003145,2021-05-25T18:32:03.199Z,764,308,2021-05-15,2021-05-31,3564,1023,1
390414054,2021-05-26T18:40:22.500Z,688,587,2021-05-01,2021-05-14,3709,53,1
380246498,2021-05-25T18:54:33.969Z,308,912,2021-04-01,2021-04-30,3564,53,4
388814738,2021-05-25T18:36:41.221Z,796,54,2021-05-01,2021-05-14,3564,48,4
386912545,2021-05-26T08:40:45.226Z,912,54,2021-05-01,2021-05-14,4023,53,1
388810011,2021-05-25T18:36:41.222Z,898,587,2021-05-01,2021-05-14,3564,53,2
388817590,2021-05-25T18:36:41.224Z,736,587,2021-05-01,2021-05-14,3564,1023,4
389848623,2021-05-25T13:33:07.543Z,681,912,2021-05-01,2021-05-31,3709,1023,2
389849798,2021-05-25T13:33:07.532Z,681,153,2021-05-01,2021-05-31,3709,1023,4
388814564,2021-05-25T18:36:41.221Z,796,218,2021-05-01,2021-05-14,3564,48,2
390040527,2021-05-25T18:34:44.890Z,191,308,2021-05-15,2021-05-31,3564,48,1
390009890,2021-05-25T18:32:03.211Z,308,912,2021-05-01,2021-05-02,3564,82,2
390155951,2021-05-25T18:49:58.213Z,764,308,2021-05-15,2021-05-31,3564,89,1
388055072,2021-05-25T18:36:41.218Z,723,681,2021-05-01,2021-05-14,3564,43,2
388809981,2021-05-25T18:36:41.222Z,898,638,2021-05-01,2021-05-14,3564,43,4
388834380,2021-05-25T18:36:41.220Z,266,54,2021-05-01,2021-05-14,3564,1023,2
386914824,2021-05-26T08:40:45.226Z,688,218,2021-05-01,2021-05-14,4023,53,1
390040122,2021-05-25T18:34:44.890Z,191,308,2021-05-17,2021-05-31,3564,40,2
390415177,2021-05-26T18:40:22.500Z,266,54,2021-05-01,2021-05-14,3709,53,1
388834565,2021-05-25T18:36:41.220Z,266,638,2021-05-01,2021-05-14,3564,1023,1
386913417,2021-05-26T08:40:45.226Z,806,54,2021-05-01,2021-05-14,4023,53,1
388818099,2021-05-25T18:36:41.224Z,736,638,2021-05-01,2021-05-14,3564,1023,1
390413532,2021-05-26T18:40:22.501Z,764,587,2021-05-01,2021-05-14,3709,53,4
390006630,2021-05-25T18:32:03.209Z,585,308,2021-05-15,2021-05-31,3564,1023,4
386914285,2021-05-26T08:40:45.227Z,585,218,2021-05-01,2021-05-14,4023,53,2
389593839,2021-05-24T20:50:56.106Z,587,529,2021-04-15,2021-04-30,3709,43,4
388813679,2021-05-25T18:36:41.222Z,806,681,2021-05-01,2021-05-14,3564,1023,2
390088140,2021-05-25T18:38:17.340Z,218,781,2021-05-15,2021-05-16,3564,190,2
390033093,2021-05-25T18:34:44.896Z,585,308,2021-05-17,2021-05-31,3564,40,1
388810005,2021-05-25T18:36:41.222Z,898,587,2021-05-01,2021-05-14,3564,1023,2
389857181,2021-05-25T13:33:07.522Z,308,688,2021-05-01,2021-05-31,3709,1023,1
390026154,2021-05-25T18:34:44.892Z,898,308,2021-05-15,2021-05-31,3564,48,2
388837221,2021-05-25T18:36:41.221Z,191,681,2021-05-10,2021-05-14,3564,40,1
390413527,2021-05-26T18:40:22.500Z,764,638,2021-05-01,2021-05-14,3709,53,2
388808846,2021-05-25T18:36:41.220Z,912,218,2021-05-01,2021-05-14,3564,53,1
388817927,2021-05-25T18:36:41.225Z,736,54,2021-05-01,2021-05-14,3564,43,4
388810013,2021-05-25T18:36:41.222Z,898,587,2021-05-01,2021-05-14,3564,48,4
390010011,2021-05-25T18:32:03.200Z,266,308,2021-05-15,2021-05-31,3564,114,2
390011226,2021-05-25T18:32:03.202Z,191,308,2021-05-15,2021-05-31,3564,38,2
389849101,2021-05-25T13:33:07.521Z,681,764,2021-05-01,2021-05-31,3709,1023,2
389850442,2021-05-25T13:33:07.506Z,638,781,2021-05-01,2021-05-31,3709,1023,1
386913941,2021-05-26T08:40:45.228Z,723,504,2021-05-01,2021-05-14,4023,53,4
388828325,2021-05-25T18:36:41.225Z,529,638,2021-05-01,2021-05-14,3564,53,2
388825946,2021-05-25T18:36:41.224Z,585,638,2021-05-01,2021-05-14,3564,53,2
390414516,2021-05-26T18:40:22.501Z,585,587,2021-05-01,2021-05-14,3709,53,2
390414511,2021-05-26T18:40:22.500Z,585,638,2021-05-01,2021-05-14,3709,53,1
388828326,2021-05-25T18:36:41.225Z,529,638,2021-05-01,2021-05-14,3564,53,1
388810006,2021-05-25T18:36:41.222Z,898,587,2021-05-01,2021-05-14,3564,1023,1
390006642,2021-05-25T18:32:03.209Z,585,308,2021-05-15,2021-05-31,3564,38,4
380234169,2021-05-25T18:54:33.967Z,678,912,2021-05-01,2021-05-02,3564,53,4
388834393,2021-05-25T18:36:41.220Z,266,54,2021-05-10,2021-05-14,3564,40,1
390010789,2021-05-25T18:32:03.202Z,191,678,2021-05-10,2021-05-16,3564,40,1
385869644,2021-05-25T18:36:41.205Z,191,54,2021-05-01,2021-05-02,3564,38,1
390011225,2021-05-25T18:32:03.202Z,191,308,2021-05-15,2021-05-31,3564,38,4
389852673,2021-05-25T13:33:07.508Z,587,898,2021-05-01,2021-05-31,3709,1023,4
386161288,2021-05-25T18:54:33.975Z,308,638,2021-04-01,2021-04-30,3564,53,1
389850474,2021-05-25T13:33:07.508Z,638,736,2021-05-01,2021-05-31,3709,1023,2
389592260,2021-05-24T20:50:56.104Z,638,736,2021-04-15,2021-04-30,3709,43,1
389592953,2021-05-24T20:50:56.106Z,587,806,2021-04-15,2021-04-30,3709,43,2
390035237,2021-05-25T18:34:44.896Z,529,308,2021-05-15,2021-05-31,3564,43,1
